robot_A => 1, b, north
robot_A => 1, b, north
robot_A => 1, b, north
robot_A => 1, b, north
robot_A => 1, b, west
robot_A => 1, b, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
robot_A => 1, a, south
